art,de,en
der,Ökonom,economist
die,Genehmigung,approval
der,Dschungel,jungle
der,Inhaber,owner
die,Gewinnung,production
der,Subunternehmer,subcontractor
die,Widrigkeit,adversity
die,Strapaze,strain
die,Mühe,effort
die,Erdwärme,geothermal
die,Verhältnisse,conditions
der,Begleiter,companion
der,Rentner,retiree
die,Bühne,stage
das,Gedicht,poem
der,Knüppel,stick
die,Einheit,unit
das,Obst,fruit
die,Fläche,area
die,Rede,speech
der,Donnerstag,Thursday
der,Einwanderer,immigrant
die,Einigung,agreement
der,Raubüberfall,robbery
die,Ermittlung,investigation
die,Bluttat,bloody
das,Geständnis,confession
das,Opfer,victim
die,Zeichnung,drawing
die,Zeugenaussage,testimony
der,Betrüger,deceiver
die,Anlage,investment
die,Bestimmung,regulation
die,Angelegenheit,matter
die,Verfügung,decree
der,Säugling,infant
die,Sterblichkeit,mortality
der,Abbruch,breaking
das,Vorhaben,plan
die,Umsetzung,implementation
der,Walfang,whaling
der,Wal,whale
der,Fang,capture
der,Befürworter,proponent
der,Held,hero
die,Menge,amount
das,Andenken,memory
die,Behörde,authority
die,Aussage,statement
das,Amt,office
das,Amtsenthebungsverfahren,impeachment
der,Beweis,evidence
der,Ausschuss,committee
der,Abgeordnete/ein,deputy
die,Verfassung,constitution
der,Umbruch,upheaval
der,Alltag,everyday
die,Herausforderung,challenge
die,Nothilfe,emergency
der,Sturz,fall
der,Auftritt,appearance
die,Kenntnis,knowledge
die,Hoffnung,hope
der,Träger,carrier
die,Vergangenheit,past
die,Riege,team
die,Ordnung,order
der,Umgang,handling
die,Leine,leash
das,Gefühl,feeling
das,Flugzeug,aircraft
die,Rüstung,armor
die,Bemühung,effort
das,Heer,army
die,Maßnahme,measure
die,Last,load
die,Brücke,bridge
der,Gegensatz,opposition
der,Ansatz,approach
die,Vorfahren,ancestors
der,Freispruch,acquittal
das,Verfahren,procedure
die,Verkündung,announcement
das,Fernsehen,TV
der,Schluss,closing
der,Strich,line
das,Eigenheim,home
die,Bestechlichkeit,bribery
der,Vorteil,benefit
das,Kleid,dress
der,Kunststoff,plastic
der,Ankläger,prosecutor
der,Antrag,request
das,Verhältnis,proportion
der,Rausch,intoxication
die,Übersicht,survey
der,Verdacht,suspicion
der,Vorgang,action
der,Gang,aisle
der,Gang,walk
der,Jäger,hunter
die,Überwachung,surveillance
der,Nutzer,user
die,Unterlagen,documents
die,Stufe,stage
der,Körper,body
